,genres
0,drama
1,drama thriller
2,drama thriller
3,drama
4,comedy thriller
5,romance
6,romance
7,comedy romance
8,drama
9,drama
10,drama
11,mystery thriller
12,drama
13,action thriller
14,drama
15,action
16,drama
17,drama
18,thriller
19,action adventure
20,drama
21,thriller
22,crime thriller
23,drama
24,crime drama thriller
25,comedy drama
26,comedy
27,drama romance
28,action thriller
29,crime thriller
30,crime thriller
31,drama
32,drama thriller
33,action comedy
34,adventure thriller
35,drama thriller
36,crime thriller
37,crime thriller
38,crime thriller
39,drama
40,drama
41,drama thriller
42,comedy drama
43,biography drama
44,comedy drama
45,comedy drama
46,drama romance
47,horror thriller
48,action adventure crime
49,drama
50,horror thriller
51,drama mystery thriller
52,drama
53,action adventure
54,drama romance
55,sci-fi thriller
56,drama thriller
57,drama
58,drama
59,comedy drama
60,drama
61,crime drama
62,mystery thriller
63,drama thriller
64,mystery thriller
65,drama
66,action adventure comedy
67,drama
68,crime drama
69,crime thriller
70,drama
71,action adventure
72,drama romance
73,drama
74,mystery thriller
75,drama thriller
76,comedy drama romance
77,comedy
78,drama
79,adventure thriller
80,drama
81,action thriller
82,drama romance
83,comedy
84,comedy romance
85,romance
86,horror thriller
87,horror thriller
88,mystery thriller
89,crime thriller
90,crime thriller
91,action comedy
92,action adventure sci-fi
93,drama
94,biography drama
95,drama romance
96,drama
97,drama thriller
98,comedy fantasy
99,drama
100,comedy drama
101,drama
102,crime thriller
103,action thriller
104,romance thriller
105,crime drama
106,mystery thriller
107,action thriller
108,comedy drama
109,action
110,comedy drama
111,mystery thriller
112,drama thriller
113,mystery thriller
114,comedy drama
115,action sci-fi
116,biography drama
117,drama
118,drama thriller
119,comedy drama
120,drama
121,drama thriller
122,comedy drama
123,comedy
124,drama
125,mystery thriller
126,crime thriller
127,comedy
128,drama
129,action comedy
130,comedy thriller
131,action drama
132,comedy crime
133,action sci-fi
134,drama thriller
135,drama
136,thriller
137,comedy
138,crime drama
139,action thriller
140,action thriller
141,drama thriller
142,drama
143,drama
144,mystery thriller
145,action thriller
146,comedy drama
147,drama
148,drama
149,action sci-fi
150,horror thriller
151,drama romance
152,drama
153,action drama thriller
154,mystery thriller
155,mystery thriller
156,horror thriller
157,adventure thriller
158,thriller
159,action sci-fi
160,drama
