id,genres
0,crime drama
1,drama thriller
2,drama
3,drama
4,action thriller
5,drama romance thriller
6,comedy drama romance
7,comedy drama romance
8,drama
9,action adventure drama
10,drama
11,action thriller
12,comedy drama
13,action thriller
14,drama thriller
15,action drama
16,drama
17,drama thriller
18,thriller
19,action drama
20,drama
21,crime thriller
22,sci-fi
23,drama
24,drama thriller
25,drama
26,comedy drama
27,drama
28,comedy thriller
29,action thriller
30,action crime thriller
31,drama
32,crime drama thriller
33,action sci-fi thriller
34,adventure thriller
35,drama thriller
36,crime drama thriller
37,crime mystery thriller
38,crime drama thriller
39,drama
40,drama thriller
41,drama thriller
42,comedy drama romance
43,drama thriller
44,drama
45,comedy drama
46,drama
47,drama horror thriller
48,action thriller
49,drama thriller
50,horror thriller
51,drama romance
52,comedy drama thriller
53,action drama
54,drama
55,crime drama thriller
56,drama thriller
57,drama
58,action drama
59,comedy drama
60,comedy drama romance
61,crime drama thriller
62,thriller
63,drama thriller
64,crime drama thriller
65,drama
66,action comedy thriller
67,drama
68,drama thriller
69,action crime thriller
70,thriller
71,action
72,drama
73,thriller
74,
75,drama thriller
76,comedy
77,comedy drama
78,drama thriller
79,action adventure thriller
80,drama thriller
81,action crime thriller
82,romance thriller
83,comedy thriller
84,comedy drama romance
85,comedy romance
86,thriller
87,thriller
88,thriller
89,crime thriller
90,crime thriller
91,action thriller
92,action adventure sci-fi thriller
93,drama thriller
94,drama thriller
95,drama
96,drama
97,drama thriller
98,action comedy thriller
99,comedy drama romance
100,drama
101,drama mystery
102,crime drama thriller
103,action thriller
104,drama romance thriller
105,drama romance
106,thriller
107,action thriller
108,comedy drama
109,action drama
110,action comedy drama
111,action thriller
112,crime drama thriller
113,thriller
114,comedy drama
115,action
116,drama
117,drama
118,crime drama thriller
119,comedy drama romance
120,drama thriller
121,action drama
122,comedy drama
123,comedy romance
124,drama
125,drama
126,drama thriller
127,comedy
128,drama
129,action comedy thriller
130,drama thriller
131,action drama
132,comedy drama
133,comedy drama
134,drama thriller
135,comedy drama
136,action comedy thriller
137,comedy drama romance
138,drama romance thriller
139,drama thriller
140,drama
141,crime drama thriller
142,drama
143,drama thriller
144,drama thriller
145,thriller
146,comedy drama
147,comedy drama
148,drama
149,action
150,drama thriller
151,drama romance
152,drama
153,drama romance thriller
154,mystery thriller
155,drama thriller
156,drama
157,thriller
158,thriller
159,action sci-fi
160,drama thriller
161,drama thriller
162,comedy drama
163,comedy
164,drama thriller
165,drama romance
166,action drama
167,drama thriller
168,drama thriller
169,crime drama thriller
170,drama thriller
171,action adventure drama thriller
172,thriller
173,drama
174,comedy drama romance
175,drama
176,comedy romance
177,mystery thriller
178,drama
179,thriller
180,drama
181,crime drama
182,drama
183,drama thriller
184,action thriller
185,
186,drama thriller
187,drama romance
188,thriller
189,drama
190,drama
191,comedy drama
192,comedy crime drama
193,action
194,comedy romance thriller
195,action thriller
196,drama
197,comedy romance
198,crime drama
199,drama thriller
200,crime drama thriller
201,drama
202,drama thriller
203,drama
204,drama thriller
205,drama romance
206,drama romance
207,drama thriller
208,drama
209,comedy crime
210,drama thriller
211,drama thriller
212,comedy drama thriller
213,drama sci-fi
214,drama thriller
215,comedy drama romance
216,comedy drama romance
217,drama
218,drama thriller
219,thriller
220,drama
221,action drama thriller
222,thriller
223,comedy crime drama
224,drama
225,drama
