id,genres
0,drama
1,drama
2,drama
3,drama
4,action thriller
5,romance
6,comedy romance
7,comedy
8,drama
9,action drama
10,drama war
11,thriller
12,drama
13,action thriller
14,drama thriller
15,
16,drama
17,drama
18,thriller
19,
20,drama
21,thriller
22,sci-fi
23,drama
24,drama thriller
25,drama
26,comedy
27,
28,
29,thriller
30,action crime thriller
31,drama
32,crime thriller
33,action sci-fi
34,adventure drama thriller
35,drama
36,thriller
37,crime mystery thriller
38,crime thriller
39,drama
40,drama
41,drama thriller
42,comedy romance
43,drama
44,drama
45,comedy drama
46,drama
47,thriller
48,thriller
49,drama thriller
50,horror thriller
51,drama
52,drama
53,action
54,drama
55,drama thriller
56,drama thriller
57,drama
58,action drama
59,comedy drama
60,comedy drama
61,crime drama thriller
62,thriller
63,drama thriller
64,drama thriller
65,drama
66,comedy
67,drama
68,drama
69,action crime thriller
70,thriller
71,action
72,
73,
74,
75,drama thriller
76,comedy
77,comedy drama
78,thriller
79,action adventure
80,
81,action thriller
82,thriller
83,comedy thriller
84,comedy romance
85,comedy romance
86,horror thriller
87,thriller
88,thriller
89,crime thriller
90,thriller
91,action thriller
92,sci-fi
93,drama
94,drama
95,drama
96,drama
97,drama
98,action comedy
99,comedy drama
100,drama
101,mystery
102,crime thriller
103,action thriller
104,thriller
105,drama
106,thriller
107,thriller
108,comedy drama
109,drama
110,action
111,thriller
112,thriller
113,thriller
114,comedy
115,
116,drama
117,drama
118,crime drama thriller
119,comedy drama
120,drama thriller
121,action drama
122,comedy
123,comedy romance
124,drama
125,
126,thriller
127,comedy
128,drama
129,action
130,thriller
131,
132,drama
133,
134,drama
135,drama
136,
137,comedy
138,drama
139,thriller
140,drama
141,crime thriller
142,drama
143,drama
144,drama thriller
145,thriller
146,comedy drama
147,comedy drama
148,drama
149,
150,
151,drama
152,drama
153,
154,thriller
155,
156,drama
157,
158,thriller
159,action sci-fi
160,drama
161,thriller
162,comedy
163,drama
164,drama thriller
165,drama
166,drama
167,drama
168,drama thriller
169,crime drama thriller
170,drama
171,action adventure
172,thriller
173,drama
174,comedy drama romance
175,drama
176,romance
177,mystery thriller
178,drama
179,thriller
180,drama
181,crime drama
182,drama
183,drama
184,action thriller
185,
186,drama thriller
187,drama romance
188,thriller
189,drama
190,drama
191,drama
192,drama
193,action
194,comedy
195,action thriller
196,drama
197,comedy
198,crime drama
199,drama
200,crime drama
201,drama
202,drama
203,drama
204,drama
205,drama romance
206,drama
207,drama thriller
208,
209,comedy
210,thriller
211,thriller
212,
213,sci-fi
214,
215,comedy drama
216,comedy drama romance
217,drama
218,drama thriller
219,thriller
220,drama
221,action drama thriller
222,thriller
223,crime drama
224,drama
225,drama
226,drama
227,crime thriller
228,drama
229,drama
230,drama
231,drama
232,drama
233,thriller
234,thriller
235,comedy drama
236,thriller
237,action thriller
238,action drama
239,thriller
240,drama romance
241,action crime thriller
242,crime
243,drama thriller
244,comedy drama romance
245,comedy drama
246,
247,comedy
248,thriller
249,drama
250,drama
251,drama
252,comedy
253,crime thriller
254,comedy thriller
255,drama romance
256,drama
257,drama
258,crime
259,drama
260,crime thriller
261,drama
262,thriller
263,thriller
264,comedy
265,
266,drama
